set,protocol,qid,slice,qtype,code,ndcg@10,recall@5,recall@10,mrr@10
dev,article,dev-gk-1383,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-141.1,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1429,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1434,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1469,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-147.1,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1482,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1489,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1516,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-15,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-gk-152,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1522,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-160,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-174.1,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-gk-163,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-197,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-21,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-20,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-gk-214,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-250,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-253,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-22,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-232,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-287.4,seen,search,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-258,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-319.1,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-388.1,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-428,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-438,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-452,seen,search,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-429.4,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-479,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-470,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-gk-487,seen,everyday,gk,0.31546,0.00000,1.00000,0.12500
dev,article,dev-gk-499,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-gk-50.1,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-506,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-502,seen,everyday,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-523,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-561,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-563,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-564,seen,search,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-53.1,seen,everyday,gk,0.38685,1.00000,1.00000,0.20000
dev,article,dev-gk-586,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-584,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-616,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-634,seen,search,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-62,seen,legal,gk,0.38685,1.00000,1.00000,0.20000
dev,article,dev-gk-682,seen,legal,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-730,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-72,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-750,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-788,seen,search,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-761,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-789,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-774,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-799,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-800,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-831,seen,legal,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-844,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-833,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-845,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-848,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-853,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-860.2,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-861,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-87,seen,search,gk,0.43068,1.00000,1.00000,0.25000
dev,article,dev-gk-896,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-891,seen,everyday,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-904,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-905,seen,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-916,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-951,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-979,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-1.3,seen,everyday,koap,0.28906,0.00000,1.00000,0.10000
dev,article,dev-gk-980,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-11.27,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-11.30,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-11.10,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-11.8,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-12.10,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-12.6,seen,everyday,koap,0.00000,0.00000,0.00000,0.00000
dev,article,dev-koap-12.9,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-13.27.1,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-13.19.2,seen,everyday,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-14.17.1,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-13.40.1,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-14.4.4,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-14.3,seen,everyday,koap,0.00000,0.00000,0.00000,0.00000
dev,article,dev-koap-14.36,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-14.53.1,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-15.36,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-15.26.1,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-15.33.2,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-15.46,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-16.12,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-17.7,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-16.13,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-18.11,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-18.21,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-18.6,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-19.17,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-18.14,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-19.31,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-2.6,seen,everyday,koap,0.35621,0.00000,1.00000,0.16667
dev,article,dev-koap-2.7,seen,everyday,koap,0.00000,0.00000,0.00000,0.00000
dev,article,dev-koap-20.15,seen,everyday,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-20.19,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-21.2,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-20.9,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-20.2.2,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-21.7,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.29,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.22,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.68,seen,search,koap,0.35621,0.00000,1.00000,0.16667
dev,article,dev-koap-23.4,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.7.2,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.74,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.93,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.98,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-26.7,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-26.6,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-25.9,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-28.6,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-29.1.6,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-29.10,seen,everyday,koap,0.00000,0.00000,0.00000,0.00000
dev,article,dev-koap-31.12,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-30.9,seen,everyday,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-32.12,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-5.1,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-5.17,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-5.22,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-5.33,seen,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-5.31,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-5.6,seen,search,koap,0.50000,1.00000,1.00000,0.33333
dev,article,dev-koap-7.28,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-7.30.3,seen,search,koap,0.50000,1.00000,1.00000,0.33333
dev,article,dev-koap-7.30.6,seen,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-8.12,seen,search,koap,0.50000,1.00000,1.00000,0.33333
dev,article,dev-koap-8.49,seen,search,koap,0.00000,0.00000,0.00000,0.00000
dev,article,dev-koap-7.33,seen,everyday,koap,0.50000,1.00000,1.00000,0.33333
dev,article,dev-koap-8.53,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-8.7,seen,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-115,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-15,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-105,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-168.1,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-163,seen,everyday,tk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-tk-167,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-185.1,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-188,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-182,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-227,seen,search,tk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-tk-22.1,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-228.1,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-241,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-252,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-315,seen,legal,tk,0.43068,1.00000,1.00000,0.25000
dev,article,dev-tk-312.7,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-262.2,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-335,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-330.5,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-330.2,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-340,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-341.2-1,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-341,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-343,seen,everyday,tk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-tk-349.3,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-368,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-381,seen,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-392,seen,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-42,seen,legal,tk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-tk-43,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-5,seen,search,tk,0.00000,0.00000,0.00000,0.00000
dev,article,dev-tk-45,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-119,seen,search,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-10,seen,everyday,zhk,0.43068,1.00000,1.00000,0.25000
dev,article,dev-zhk-133,seen,search,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-88,seen,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-149,seen,search,zhk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-zhk-168,seen,search,zhk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-zhk-187,seen,search,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-170,seen,everyday,zhk,0.35621,0.00000,1.00000,0.16667
dev,article,dev-zhk-172,seen,everyday,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-47,seen,search,zhk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-zhk-198,seen,legal,zhk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-zhk-26,seen,legal,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-93,seen,search,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-48,seen,everyday,zhk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-zhk-74,seen,everyday,zhk,0.43068,1.00000,1.00000,0.25000
dev,article,dev-zhk-98.1,seen,legal,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1173,unseen_articles,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1206,unseen_articles,search,gk,0.28906,0.00000,1.00000,0.10000
dev,article,dev-gk-1347,unseen_articles,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1257,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1279,unseen_articles,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-141.2,unseen_articles,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1360.1,unseen_articles,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-1379,unseen_articles,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-149.3,unseen_articles,search,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-1524,unseen_articles,search,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-155,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-244,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-271,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-33,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-32,unseen_articles,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-358.1,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-475,unseen_articles,search,gk,0.43068,1.00000,1.00000,0.25000
dev,article,dev-gk-358.3,unseen_articles,everyday,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-48,unseen_articles,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-516,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-496,unseen_articles,everyday,gk,0.35621,0.00000,1.00000,0.16667
dev,article,dev-gk-533,unseen_articles,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-589,unseen_articles,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-686,unseen_articles,everyday,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-66.3,unseen_articles,everyday,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-764,unseen_articles,search,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-734,unseen_articles,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-8.1,unseen_articles,everyday,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-gk-843,unseen_articles,search,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-834,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-859.1,unseen_articles,everyday,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-875,unseen_articles,everyday,gk,0.31546,0.00000,1.00000,0.12500
dev,article,dev-gk-884,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-944,unseen_articles,search,gk,0.50000,1.00000,1.00000,0.33333
dev,article,dev-gk-969,unseen_articles,legal,gk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-gk-94,unseen_articles,legal,gk,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-1.2,unseen_articles,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-11.8.1,unseen_articles,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-13.19.5,unseen_articles,search,koap,0.00000,0.00000,0.00000,0.00000
dev,article,dev-koap-11.14,unseen_articles,everyday,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-13.10,unseen_articles,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-13.28,unseen_articles,search,koap,0.50000,1.00000,1.00000,0.33333
dev,article,dev-koap-13.33,unseen_articles,search,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-14.10,unseen_articles,everyday,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-15.13,unseen_articles,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-16.4,unseen_articles,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-15.37.1,unseen_articles,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-19.21,unseen_articles,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-19.18,unseen_articles,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-19.6,unseen_articles,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-19.8.1,unseen_articles,search,koap,0.00000,0.00000,0.00000,0.00000
dev,article,dev-koap-19.7.5-1,unseen_articles,legal,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-20.10,unseen_articles,everyday,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.28,unseen_articles,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-23.77,unseen_articles,legal,koap,0.50000,1.00000,1.00000,0.33333
dev,article,dev-koap-27.1,unseen_articles,search,koap,1.00000,1.00000,1.00000,1.00000
dev,article,dev-koap-5.66,unseen_articles,everyday,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-koap-8.24,unseen_articles,everyday,koap,0.63093,1.00000,1.00000,0.50000
dev,article,dev-tk-151,unseen_articles,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-134,unseen_articles,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-154,unseen_articles,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-311,unseen_articles,search,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-321,unseen_articles,everyday,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-328.1,unseen_articles,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-336,unseen_articles,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-46,unseen_articles,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-60.2,unseen_articles,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-47,unseen_articles,everyday,tk,0.38685,1.00000,1.00000,0.20000
dev,article,dev-zhk-118,unseen_articles,search,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-tk-84,unseen_articles,legal,tk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-152,unseen_articles,legal,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-20,unseen_articles,search,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-22,unseen_articles,search,zhk,1.00000,1.00000,1.00000,1.00000
dev,article,dev-zhk-91.1,unseen_articles,everyday,zhk,0.63093,1.00000,1.00000,0.50000
test,article,test-gk-1,seen,search,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1017,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1049,seen,search,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1000,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
test,article,test-gk-1056,seen,search,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1046,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1070,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1077,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1075,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1090,seen,search,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1085,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1079,seen,everyday,gk,0.00000,0.00000,0.00000,0.00000
test,article,test-gk-1143,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1157,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-1144,seen,everyday,gk,0.63093,1.00000,1.00000,0.50000
test,article,test-gk-1221,seen,legal,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-123.1,seen,search,gk,0.63093,1.00000,1.00000,0.50000
test,article,test-gk-123.20-5,seen,search,gk,1.00000,1.00000,1.00000,1.00000
test,article,test-gk-123.11,seen,everyday,gk,1.00000,1.00000,1.00000,1.00000
