n,qid,category,comment,qtype,slice,rank
10,test-tk-80,ambiguous_question,"По запросу «срок предупреждения об увольнении» непонятно, кто кого предупреждает и в какой ситуации, а выданная ст. 292 тоже задаёт сроки предупреждения для краткосрочных договоров.",search,unseen_articles,2
11,test-gk-484,same_code_other_chapter,"Слово «отказаться» увело модель в главу 15 об отказе от права собственности (ст. 238, 236), а не к обязанности покупателя принять товар (ст. 484).",everyday,unseen_articles,4
12,test-koap-14.57,other_code,"Слово «кредит» увело модель в ГК (ст. 324 о возражениях против требований кредитора), хотя поведение коллекторов регулирует КоАП ст. 14.57.",everyday,unseen_articles,4
13,test-tk-415,neighbor_same_chapter,"Модель выдала общую ст. 409 о праве на забастовку из той же главы 61, а не специальные ст. 414–415 о запрете увольнения бастующих и локаута.",everyday,seen,4
14,test-gk-542,other_code,"Модель ушла в КоАП ст. 14.61 и ЖК ст. 157 про оплату энергии и коммунальных услуг, а право не платить за некачественную энергию дано в ГК ст. 542.",everyday,seen,3
15,test-koap-2.1,other_code,"Слова «директор» и «сотрудник нарушил» увели модель в ТК (ст. 195, 362 об ответственности руководителя), хотя вопрос о вине юрлица по КоАП ст. 2.1.",everyday,unseen_articles,3
16,test-koap-28.8,neighbor_same_chapter,"Модель выдала соседнюю ст. 28.5 о сроках составления протокола вместо ст. 28.8 о сроке его направления на рассмотрение: та же глава 28, почти совпадающая лексика.",legal,unseen_articles,3
17,test-koap-5.63,same_code_other_chapter,Модель выдала КоАП ст. 13.33 об электронной подписи и ст. 9.5.2 о сроках направления документов из других глав вместо ст. 5.63 о нарушениях при оказании госуслуг.,everyday,seen,3
18,test-sk-163,same_code_other_chapter,"Модель выдала ст. 118 об уплате алиментов при выезде за границу из главы 17, а вопрос о выборе применимого права решает коллизионная ст. 163 из главы 23.",everyday,unseen_codes,3
19,test-sk-42,incomplete_qrels,"Выданная ст. 38 (п. 2 о нотариальном соглашении о разделе общего имущества) тоже позволяет договориться «мне машина, ей квартира», поэтому её стоило добавить в разметку наряду со ст. 42.",everyday,unseen_codes,3
20,test-sk-18,neighbor_same_chapter,"На общий вопрос «как развестись» модель выдала специальную ст. 23 о судебном разводе по взаимному согласию из той же главы 4, а не общую ст. 18 о порядке.",everyday,unseen_codes,4
21,test-gk-644,incomplete_qrels,"Выданная ст. 629 о прокате (арендодатель обязан устранить недостатки) прямо отвечает на вопрос о поломке машины, арендованной у прокатной компании, но в разметке её нет.",everyday,unseen_articles,3
22,test-zozpp-10,other_code,"Модель ушла в КоАП ст. 14.45 и 14.47 о сертификации, хотя по разметке нужны нормы Закона о защите прав потребителей об информации о товаре (ст. 10, 26.1).",everyday,unseen_codes,3
23,test-koap-5.8,neighbor_same_chapter,"Модель выдала ст. 5.10 об агитации вне агитационного периода из той же главы 5, не учтя ключевое «СМИ», которое указывает на ст. 5.8 и 5.5.",search,seen,2
24,test-gk-1048,neighbor_same_chapter,Модель выдала общую определительную ст. 1041 о договоре простого товарищества из той же главы 55 вместо специальной ст. 1048 о распределении прибыли.,legal,unseen_articles,2
25,test-gk-123.20-5,neighbor_same_chapter,Модель спутала ст. 123.20-5 «Условия управления личным фондом» с соседней ст. 123.20-7 «Управление личным фондом» с почти одинаковым названием.,search,seen,2
26,test-gk-1523,incomplete_qrels,"Выданная ст. 1527 (п. 2 о признании заявки отозванной, если запрошенные материалы не представлены в срок) прямо отвечает на опасение из вопроса.",everyday,seen,2
27,test-koap-23.15,same_code_other_chapter,"Модель выдала материальный состав ст. 8.3 о нарушении правил обращения с пестицидами (глава 8), а вопрос о подведомственности, которую определяет ст. 23.15 (глава 23).",legal,seen,2
28,test-sk-125,same_code_other_chapter,Слова «органы опеки и попечительства» увели модель в главу 20 об опеке над детьми (ст. 145) вместо главы 19 об усыновлении (ст. 125).,legal,unseen_codes,2
29,test-sk-25,same_code_other_chapter,"Модель выдала переходную ст. 169 из заключительного раздела, где упомянут «судебный порядок», вместо ст. 25 о моменте прекращения брака.",legal,unseen_codes,2
