a,b,set,protocol,metric,group,n_queries,mean_a,mean_b,delta,ci_low,ci_high,p_value,n_resamples
ft-e5-small-v2,e5-small,golden,chunk,ndcg@10,all,174,0.89371,0.83057,0.06314,0.03341,0.09403,0.00000,10000
ft-e5-small-v2,e5-small,golden,chunk,ndcg@10,slice=seen,58,0.91622,0.81222,0.10400,0.04916,0.16418,0.00020,10000
ft-e5-small-v2,e5-small,golden,chunk,ndcg@10,slice=unseen_articles,58,0.82537,0.78393,0.04144,-0.00429,0.08960,0.07360,10000
ft-e5-small-v2,e5-small,golden,chunk,ndcg@10,slice=unseen_codes,58,0.93955,0.89556,0.04399,-0.00160,0.09949,0.06120,10000
ft-e5-small-v2,ft-e5-small,golden,chunk,ndcg@10,all,174,0.89371,0.86883,0.02488,0.00298,0.04655,0.02640,10000
ft-e5-small-v2,ft-e5-small,golden,chunk,ndcg@10,slice=seen,58,0.91622,0.87133,0.04489,0.00880,0.08665,0.01260,10000
ft-e5-small-v2,ft-e5-small,golden,chunk,ndcg@10,slice=unseen_articles,58,0.82537,0.82070,0.00467,-0.03832,0.04523,0.80440,10000
ft-e5-small-v2,ft-e5-small,golden,chunk,ndcg@10,slice=unseen_codes,58,0.93955,0.91447,0.02508,-0.00181,0.05519,0.06980,10000
ft-e5-small-v2,e5-small,test,article,ndcg@10,all,728,0.82257,0.75715,0.06542,0.04935,0.08196,0.00000,10000
ft-e5-small-v2,e5-small,test,article,ndcg@10,slice=seen,293,0.83509,0.74738,0.08770,0.06204,0.11498,0.00000,10000
ft-e5-small-v2,e5-small,test,article,ndcg@10,slice=unseen_articles,218,0.81650,0.74194,0.07456,0.04418,0.10613,0.00000,10000
ft-e5-small-v2,e5-small,test,article,ndcg@10,slice=unseen_codes,217,0.81179,0.78562,0.02616,-0.00197,0.05513,0.06900,10000
