run,experiment,base_model,data,fraction,hard_negatives,loss,epochs,seed,train_rows,steps,best_step,best_epoch,dev_ndcg@10_base,dev_ndcg@10_best,dev_ndcg@10_best_seen,dev_ndcg@10_best_unseen_articles,dev_recall@10_best,train_min,sec_per_step,peak_mem_gb,git_commit
e2_base_llm_hn_s43,E3,multilingual-e5-base,llm,1.0000,True,mnrl,2,43,9139,144,144,2.0000,0.8280,0.8494,0.8475,0.8548,0.9426,8.2400,3.4350,3.5400,dd72715
e2_base_llm_hn_s44,E3,multilingual-e5-base,llm,1.0000,True,mnrl,2,44,9139,144,72,1.0000,0.8280,0.8540,0.8567,0.8459,0.9459,8.2100,3.4190,3.5400,dd72715
e4_small_llm_hn_f25,E4,multilingual-e5-small,llm,0.2500,True,mnrl,2,42,2285,36,4,0.2200,0.8161,0.8333,0.8478,0.7896,0.9155,2.2500,3.7520,2.0800,dd72715
e4_small_llm_hn_f50,E4,multilingual-e5-small,llm,0.5000,True,mnrl,2,42,4570,72,54,1.5000,0.8161,0.8384,0.8509,0.8008,0.9291,2.7300,2.2750,2.0800,dd72715
v2a_small_teacher_v12,V2,multilingual-e5-small,llm_v12 + teacher,1.0000,True,mnrl,2,42,16785,264,264,2.0000,0.8193,0.8466,0.8559,0.8186,0.9426,7.4900,1.7010,2.0900,413762d
v2a_small_teacher_v12_f50,V2,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,2,42,15998,250,217,1.7400,0.8193,0.8483,0.8547,0.8292,0.9358,7.6600,1.8390,2.0900,413762d
v2a_small_teacher_v12_f50_s43,E3,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,2,43,15998,250,248,1.9800,0.8193,0.8482,0.8529,0.8339,0.9409,7.4800,1.7950,2.0900,85a3cae
v2a_small_teacher_v12_f50_s44,E3,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,2,44,15998,250,155,1.2400,0.8193,0.8482,0.8548,0.8282,0.9409,7.5600,1.8140,2.0900,85a3cae
v2a_small_teacher_v1data,V2,multilingual-e5-small,llm_v12 + teacher (v1),1.0000,True,mnrl,2,42,9137,144,108,1.5000,0.8193,0.8431,0.8478,0.8287,0.9409,5.3900,2.2470,2.0800,413762d
v2b_small_teacher_v12_f50_aug50,V2,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50, format aug 0.5",1.0000,True,mnrl,2,42,15998,250,155,1.2400,0.8193,0.8463,0.8527,0.8268,0.9358,7.3400,1.7610,2.0900,413762d
v2c_distill_t02,V2,models\v2a_small_teacher_v12_f50\best,"llm_v12 + teacher, noise filter top-50",1.0000,True,distill_kl,1,42,15998,500,500,1.0000,0.8483,0.8506,0.8537,0.8411,0.9392,8.2500,0.9900,2.8600,85a3cae
v2c_distill_t02_from_s43,E3,models\v2a_small_teacher_v12_f50_s43\best,"llm_v12 + teacher, noise filter top-50",1.0000,True,distill_kl,1,43,15998,500,125,0.2500,0.8482,0.8560,0.8558,0.8566,0.9291,8.3300,0.9990,2.8600,85a3cae
v2c_distill_t02_from_s44,E3,models\v2a_small_teacher_v12_f50_s44\best,"llm_v12 + teacher, noise filter top-50",1.0000,True,distill_kl,1,44,15998,500,125,0.2500,0.8482,0.8564,0.8607,0.8436,0.9358,8.0500,0.9660,2.8600,85a3cae
v2c_distill_t05,V2,models\v2a_small_teacher_v12_f50\best,"llm_v12 + teacher, noise filter top-50",1.0000,True,distill_kl,1,42,15998,500,0,0.0000,0.8483,0.8483,0.8547,0.8292,0.9358,8.2600,0.9910,2.8600,413762d
v2e_bs256,V2,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,2,42,15998,126,126,2.0000,0.8193,0.8437,0.8524,0.8178,0.9358,7.0100,3.3380,2.1000,85a3cae
v2e_ep3,V2,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,3,42,15998,375,372,2.9800,0.8193,0.8523,0.8582,0.8346,0.9459,10.8800,1.7400,2.0900,85a3cae
v2e_ep3_s43,E3,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,3,43,15998,375,375,3.0000,0.8193,0.8510,0.8570,0.8329,0.9426,10.7000,1.7120,2.0900,ed86e66
v2e_ep3_s44,E3,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,3,44,15998,375,217,1.7400,0.8193,0.8497,0.8552,0.8333,0.9409,10.5400,1.6860,2.0900,ed86e66
v2e_lr5e5,V2,multilingual-e5-small,"llm_v12 + teacher, noise filter top-50",1.0000,True,mnrl,2,42,15998,250,217,1.7400,0.8193,0.8522,0.8573,0.8369,0.9409,7.2900,1.7480,2.0900,ed86e66
v2f_distill_from_v2e_ep3,V2,D:\VScode_projects\ru-law-retrieval\models\v2e_ep3\best,"llm_v12 + teacher, noise filter top-50",1.0000,True,distill_kl,1,42,15998,500,250,0.5000,0.8523,0.8551,0.8549,0.8556,0.9426,8.0900,0.9710,2.8600,3e78f52
v2f_distill_from_v2e_ep3_s43,E3,D:\VScode_projects\ru-law-retrieval\models\v2e_ep3_s43\best,"llm_v12 + teacher, noise filter top-50",1.0000,True,distill_kl,1,43,15998,500,125,0.2500,0.8510,0.8564,0.8577,0.8524,0.9341,7.9100,0.9490,2.8600,3e78f52
v2f_distill_from_v2e_ep3_s44,E3,D:\VScode_projects\ru-law-retrieval\models\v2e_ep3_s44\best,"llm_v12 + teacher, noise filter top-50",1.0000,True,distill_kl,1,44,15998,500,125,0.2500,0.8497,0.8520,0.8577,0.8348,0.9307,7.9100,0.9490,2.8600,3e78f52
